,Model,Metric,P-Value,Significance
0,mpt-7b-chat,CategorizationThreat,0.00052998011728101,Significant
1,mpt-7b-chat,MoralityThreat,0.002182727599417879,Significant
2,mpt-7b-chat,CompetenceThreat,0.714342396104287,Not Significant
3,mpt-7b-chat,RealisticThreat,0.005782776094753937,Significant
4,mpt-7b-chat,SymbolicThreat,0.00013354790941082039,Significant
5,mpt-7b-chat,Disparagement,0.0005720795092507017,Significant
6,mpt-7b-chat,OpportunityHarm,0.0033747670769151304,Significant
7,gpt-3.5-turbo,CategorizationThreat,0.04459245201939828,Significant
8,gpt-3.5-turbo,MoralityThreat,1.0,Not Significant
9,gpt-3.5-turbo,CompetenceThreat,1.0,Not Significant
10,gpt-3.5-turbo,RealisticThreat,1.0,Not Significant
11,gpt-3.5-turbo,SymbolicThreat,0.15816308259956913,Not Significant
12,gpt-3.5-turbo,Disparagement,0.15816308259956913,Not Significant
13,gpt-3.5-turbo,OpportunityHarm,0.08282724740062891,Not Significant
14,Llama-2-13b-chat-hf,CategorizationThreat,1.0916113572302555e-24,Significant
15,Llama-2-13b-chat-hf,MoralityThreat,2.990459603454431e-27,Significant
16,Llama-2-13b-chat-hf,CompetenceThreat,4.782265456980541e-06,Significant
17,Llama-2-13b-chat-hf,RealisticThreat,1.4025591711538283e-16,Significant
18,Llama-2-13b-chat-hf,SymbolicThreat,2.519034800540551e-23,Significant
19,Llama-2-13b-chat-hf,Disparagement,2.136251163548105e-23,Significant
20,Llama-2-13b-chat-hf,OpportunityHarm,1.1576184471984593e-23,Significant
21,Llama-2-7b-chat-hf,CategorizationThreat,3.943427044400396e-12,Significant
22,Llama-2-7b-chat-hf,MoralityThreat,6.817052779272063e-11,Significant
23,Llama-2-7b-chat-hf,CompetenceThreat,0.1126230714097335,Not Significant
24,Llama-2-7b-chat-hf,RealisticThreat,6.993967671807758e-06,Significant
25,Llama-2-7b-chat-hf,SymbolicThreat,1.0416603216385916e-11,Significant
26,Llama-2-7b-chat-hf,Disparagement,5.8064462401322345e-12,Significant
27,Llama-2-7b-chat-hf,OpportunityHarm,4.267091524294311e-10,Significant
28,Orca-2-7b,CategorizationThreat,1.522242034962024e-08,Significant
29,Orca-2-7b,MoralityThreat,1.0916280394000561e-05,Significant
30,Orca-2-7b,CompetenceThreat,0.15045809295167106,Not Significant
31,Orca-2-7b,RealisticThreat,3.6429595686482725e-05,Significant
32,Orca-2-7b,SymbolicThreat,6.54860522264506e-12,Significant
33,Orca-2-7b,Disparagement,8.498238166764171e-05,Significant
34,Orca-2-7b,OpportunityHarm,7.159402598780896e-08,Significant
35,gpt4-preview,CategorizationThreat,0.08282724740062891,Not Significant
36,gpt4-preview,MoralityThreat,1.0,Not Significant
37,gpt4-preview,CompetenceThreat,1.0,Not Significant
38,gpt4-preview,RealisticThreat,1.0,Not Significant
39,gpt4-preview,SymbolicThreat,1.0,Not Significant
40,gpt4-preview,Disparagement,1.0,Not Significant
41,gpt4-preview,OpportunityHarm,0.08282724740062891,Not Significant
42,vicuna-13b-v1.5,CategorizationThreat,1.9973729855629465e-16,Significant
43,vicuna-13b-v1.5,MoralityThreat,8.544987355007355e-14,Significant
44,vicuna-13b-v1.5,CompetenceThreat,1.090755877378661e-05,Significant
45,vicuna-13b-v1.5,RealisticThreat,3.233448226843817e-09,Significant
46,vicuna-13b-v1.5,SymbolicThreat,4.968148588730794e-20,Significant
47,vicuna-13b-v1.5,Disparagement,1.621442504606486e-17,Significant
48,vicuna-13b-v1.5,OpportunityHarm,1.0870399183226366e-16,Significant
49,vicuna-7b-v1.5,CategorizationThreat,1.000802145417871e-07,Significant
50,vicuna-7b-v1.5,MoralityThreat,0.0021407536786716575,Significant
51,vicuna-7b-v1.5,CompetenceThreat,0.31716263883359797,Not Significant
52,vicuna-7b-v1.5,RealisticThreat,0.004044827322561578,Significant
53,vicuna-7b-v1.5,SymbolicThreat,1.519526837243536e-06,Significant
54,vicuna-7b-v1.5,Disparagement,9.024475185279653e-05,Significant
55,vicuna-7b-v1.5,OpportunityHarm,6.858245315099027e-07,Significant
